data-object,key,productType.key,variants.sku,description.en-US,priceMode,variants.prices.key,variants.prices.value.currencyCode,variants.prices.value.type,variants.prices.country,variants.prices.value.fractionDigits,variants.prices.value.centAmount,productType.typeId,name.en-US,slug.en-US,variants.key,taxCategory.key,taxCategory.typeId,attributes.RockerType,attributes.Shape,attributes.FlexRating,attributes.BindingMountPattern,attributes.Core-Laminates,attributes.EdgeTech,attributes.MadeintheUSA,attributes.Warranty,attributes.Size,attributes.EffectiveEdge,attributes.TipWidth,attributes.WaistWidth,attributes.TailWidth,attributes.SidecutRadius,attributes.StanceSetback,attributes.StanceRange,attributes.Width,categories,attributes.RiderWeight,attributes.Athletes,attributes.SnowboardAwards
variant,snowboard1021,snowboardTypeKey,SNW-4226-01,"The Burton Feelgood Flying V Snowboard provides the kind of warm-and-fuzzy feels that can only be achieved by spending epic days in the mountains. It's a classic all mountain shape steeped in Burton quality, pairing Burton's playful Flying V rocker profile with an energetic Super Fly II™ 700G Core and Carbon I-Beam reinforcement for smooth, chatter-free performance in all conditions. Make this your daily driver and turn that frown upside down.",Embedded,SNW-Price-21-01,USD,centPrecision,US,2,43396,product-type,Burton Feelgood Flying V Snowboard - Women's 2024,snowboardSlug1021,SNW-21-01,SnowboardTaxKey,tax-category,Roc/Cam/Roc/Cam/Roc,Directional Twin,Medium,Channel,"Carbon, Wood",,,3 Years,142,1065,276,238,276,6.8,12.5,505,Regular,Intermediate-AdvancedKey;BurtonKey;adult-femaleKey;FreestyleKey;All-MountainKey,100-150,,
variant,snowboard1022,snowboardTypeKey,SNW-2474-01,"Love the Warpig but need a little more pork in that sando? The Ride Superpig Snowboard is the hog you seek. Adding extra stiffness, camber, and space age tech to the proven Warpig design, the Superpig offers an upgraded ride for riders wallowing in the deepest, steepest stashes on the mountain.",Embedded,SNW-Price-22-01,USD,centPrecision,US,2,41996,product-type,Ride Superpig Snowboard 2024,snowboardSlug1022,SNW-22-01,SnowboardTaxKey,tax-category,Rocker/Camber,Directional,Stiff,2x4,"Bamboo, Carbon, Wood",,,3 Years,142,,301,250,291,4.6​/5.6,,,Regular,Advanced-ExpertKey;RideKey;adult-anyKey;All-MountainKey,60-160,,
variant,snowboard1023,snowboardTypeKey,SNW-2945-01,"Introducing the Roxy Raina Snowboard, the ultimate shred companion for snow royality. With a medium-soft flex, this board is your ticket to playful snowboarding bliss. Its directional twin geometry, Magne-Traction®, and C2 contour ensure you'll dominate any snow condition with comfort and precision. Whether you're a beginner ready to level up or an entry-level rider seeking a progression boost, the Roxy Raina Snowboard is your next go-to.",Embedded,SNW-Price-23-01,USD,centPrecision,US,2,27999,product-type,Roxy Raina Snowboard - Women's 2024,snowboardSlug1023,SNW-23-01,SnowboardTaxKey,tax-category,Camber/Rocker/Camber,Directional Twin,Medium,2x4,Wood,Magne-Traction,,1 Year,139,1020,270,231,270,7,.5,17.5 - 22.5,Regular,Beginner-IntermediateKey;RoxyKey;adult-femaleKey;All-MountainKey,,,
variant,snowboard1024,snowboardTypeKey,SNW-2188-01,"Tired of the same old options? The K2 Antidote Snowboard is the perfect cure. With a stiff and slightly setback design, it's perfect for hard-charging, down-the-line ripping. But don't let that fool you, this full cambered directional twin is also great in the park, providing exceptionally snappy performance along with a balanced feel in the air. Whether you're freestyling in pow, playing around on big mountain lines, or attacking the park, the Antidote delivers.",Embedded,SNW-Price-24-01,USD,centPrecision,US,2,38997,product-type,K2 Antidote Snowboard 2024,snowboardSlug1024,SNW-24-01,SnowboardTaxKey,tax-category,Camber,Directional Twin,Stiff,2x4,"Bamboo, Carbon, Wood",,,3 Years,145,1090,282,239,282,8.6​/6​/8.6,0.75,19,Regular,Advanced-ExpertKey;K2Key;adult-anyKey;All-MountainKey,90-160​+,,
variant,snowboard1025,snowboardTypeKey,SNW-3018-01,"If everyone were as easygoing and downright amenable as the GNU B-Nice BTX Snowboard, the world would be a better place. This board has a soft, approachable flex and a progression friendly Original Banana rocker profile for catch free turns and instant float through softer snow. Effortless, intuitive, easy to ride, and easy to love, the B-Nice is the perfect resort BFF for riders growing in confidence day by day.",Embedded,SNW-Price-25-01,USD,centPrecision,US,2,32199,product-type,GNU B-Nice BTX Snowboard - Women's 2024,snowboardSlug1025,SNW-25-01,SnowboardTaxKey,tax-category,Camber/Rocker/Camber,True Twin,Soft,2x4,Wood,Magne-Traction,Yes,1 Year,133,1010,258,225,258,7.5,0,17-22,Regular,Beginner-IntermediateKey;GNUKey;adult-femaleKey;FreestyleKey;All-MountainKey,,,
variant,snowboard1026,snowboardTypeKey,SNW-4103-01,"The Arbor Cadence Rocker LTD Snowboard is a versatile ripper for front side days lapping the park and carving corduroy with your pals. Featuring a mid-soft flex and system rocker, the Cadence is easy to turn and progress on and can really rip when you're ready to let loose. Limited edition evo x Arbor topsheet art and strong, eco friendly materials round out a stylish frontside package you can rep all season.",Embedded,SNW-Price-26-01,USD,centPrecision,US,2,30999,product-type,Arbor Cadence Rocker LTD Snowboard - Women's 2024,snowboardSlug1026,SNW-26-01,SnowboardTaxKey,tax-category,Rocker,True Twin,Medium,2x4,Wood,,,3 Years,139,1062,269,231.5,269,8 ​/ 7.1 ​/ 8,,20,Regular,Intermediate-AdvancedKey;ArborKey;adult-femaleKey;FreestyleKey;All-MountainKey,60 - 140,,Transworld Snowboarding Good Wood
variant,snowboard1027,snowboardTypeKey,SNW-3243-01,"If your set-up trick is a lofted Cab 5, the Lib Tech EJack Knife HP C3 Snowboard is for you. The ultimate backcountry freestyle stick, this one's been stomping landings for a few years now, and it just keeps getting better. New for this model is a soft-serve spoon nose, do you can squeeze out a few more miles per hour on your way to that cheese wedge. Aggressive C3 camber, a super lightweight core, and a stiff flex only add to the eye-watering speeds you'll enjoy out there too: this board is ready to drop more hammers than a hardware store on a sinkhole.",Embedded,SNW-Price-27-01,USD,centPrecision,US,2,48999,product-type,Lib Tech EJack Knife HP C3 Snowboard 2024,snowboardSlug1027,SNW-27-01,SnowboardTaxKey,tax-category,Camber/Rocker/Camber,Directional,Medium,2x4,"Basalt, Wood",Magne-Traction,Yes,1 Year,154,1110,299,251,291,8,1,4.75,Regular,Advanced-ExpertKey;LibTechKey;adult-maleKey;All-MountainKey;FreerideKey,,Eric Jackson,
variant,snowboard1028,snowboardTypeKey,SNW-3187-01,"Calling all big dudes: the Lib Tech Skunk Ape II C2X Snowboard is the charging, all-mountain board that won't catch your heels and toes. The longer nose and wide to ultra-wide waist have the float you need on a pow day and the width you need to fit larger feet. Don't think you can only ride powder on this rig though, Magnetraction edges cut through ice and the C2X camber is made for all-mountain trenching.",Embedded,SNW-Price-28-01,USD,centPrecision,US,2,48999,product-type,Lib Tech Skunk Ape II C2X Snowboard 2024,snowboardSlug1028,SNW-28-01,SnowboardTaxKey,tax-category,Camber/Rocker/Camber,Directional,Stiff,2x4,"Basalt, Wood",Magne-Traction,Yes,1 Year,157W,1150,305,268,303,8.5,1,21-26,Wide,Intermediate-AdvancedKey;LibTechKey;adult-maleKey;All-MountainKey,,,
variant,snowboard1029,snowboardTypeKey,SNW-3306-01,"An all-mountain ripper of a board with no bad habits, the Nidecker Venus SE Snowboard doesn't snore or leave its clothes lying in the hallway. All it does is handle all manner of snow and terrain with a lively, poppy personality that makes snowboarding fun day in and day out. Directional CamRock delivers the perfect mix of edgehold and surfiness, and a flex of ""6"" is a great compromise between ""surfy"" and ""chargey"". Decked out with a special edition evo topsheet, the Nidecker Venus SE Snowboard will turn heads on the slopes and lift line alike.",Embedded,SNW-Price-29-01,USD,centPrecision,US,2,23997,product-type,Nidecker Venus SE Snowboard - Women's,snowboardSlug1029,SNW-29-01,SnowboardTaxKey,tax-category,Rocker/Camber/Rocker,Directional Twin,Medium,2x4,"Carbon, Wood",,,3 Years,139N,930,275,235,275,6.8,10,,,Intermediate-AdvancedKey;NideckerKey;adult-femaleKey;All-MountainKey,88 - 110,,
variant,snowboard1030,snowboardTypeKey,SNW-2704-01,"Kinetic energy just waiting to be unleashed, the Lib Tech Dynamo C3 Snowboard has the juice to get loose. With a stiffer flex mated to aggressive C3 camber, this one is definitely on the hard-charging end of the spectrum – look elsewhere if you're content to just kind of ride around, this board is hyper-focused and capable of some seriously supernova moves. Find this board under the feet of your local's hardest rippers, those riders who always seem to get to the zone first and when it's best. Join their ranks and hold on tight.",Embedded,SNW-Price-30-01,USD,centPrecision,US,2,40599,product-type,Lib Tech Dynamo C3 Snowboard 2024,snowboardSlug1030,SNW-30-01,SnowboardTaxKey,tax-category,Camber/Rocker/Camber,Directional,Stiff,2x4,Wood,Magne-Traction,Yes,1 Year,150,1050,282,243,280,7.8,1,18.5-23.5,Regular,Advanced-ExpertKey;LibTechKey;adult-maleKey;All-MountainKey;FreerideKey,,"Austin Sweetin, Phil Hansen",
variant,snowboard1031,snowboardTypeKey,SNW-4267-01,"The CAPiTA Space Metal Fantasy Snowboard is an easy choice for the rider focused on improving their skills both in and out of the park. With its true twin, medium-flexing, rocker-flat-rocker construction, it's just plain hard to beat. Whether you're carving cord, working on your 360, or have your eyes set on secret pow stashes, the Space Metal Fantasy guarantees a good time.",Embedded,SNW-Price-31-01,USD,centPrecision,US,2,30096,product-type,CAPiTA Space Metal Fantasy Snowboard - Women's 2024,snowboardSlug1031,SNW-31-01,SnowboardTaxKey,tax-category,Rocker/Flat/Rocker,True Twin,Soft,2x4,Wood,,,2 Years,139,1106,272,228,272,6.7,,456,Regular,Beginner-IntermediateKey;CAPiTAKey;adult-femaleKey;FreestyleKey,80-130,,
variant,snowboard1032,snowboardTypeKey,SNW-3216-01,"After a couple years in worldwide lockdown, we're all experts at surviving indoors. Now that we're back outside, the CAPiTA Indoor Survival Snowboard is a perfect companion. This powerhouse of a twin is available in larger widths, ensuring that riders of all sizes can experience the Indoor Survival's superior performance. Equipped with cutting-edge features like the super-fast Quantum Drive base and the P2 Superlight Core™ with Titanal Centerline reinforcement, this snowboard is engineered to dominate the park and excel in all mountain conditions.",Embedded,SNW-Price-32-01,USD,centPrecision,US,2,40596,product-type,CAPiTA Indoor Survival Snowboard 2024,snowboardSlug1032,SNW-32-01,SnowboardTaxKey,tax-category,Flat/Camber/Flat,True Twin,Medium,2x4,"Carbon, Wood",,,2 Years,150,1165,292,249,292,7.7,,20,Regular,Intermediate-AdvancedKey;CAPiTAKey;adult-maleKey;FreestyleKey;All-MountainKey,100-150,,"Transworld Snowboarding Good Wood, Snowboard Magazine Platinum Pick"
